temperature,humidity,wind_speed,rainfall,weather_severity_score,heavy_rain,high_humidity
20.7,71.3,28.9,53.8,50.76,1,0
28.9,84.4,25.3,67.0,60.07000000000001,1,0
25.3,54.7,12.1,8.0,24.560000000000002,0,0
18.2,91.0,22.4,48.7,53.08,0,1
26.9,78.1,32.6,23.3,41.96,0,0
38.8,32.7,13.3,0.4,16.51,0,0
31.0,41.9,11.9,1.9,18.81,0,0
28.5,77.8,32.3,67.2,59.53,1,0
30.0,47.2,11.8,19.4,27.28,0,0
23.9,82.1,31.9,23.9,42.96,0,0
42.7,27.8,12.8,0.3,15.29,0,0
27.9,75.6,18.9,51.4,49.809999999999995,1,0
34.7,25.6,7.4,4.4,14.39,0,0
42.4,28.4,12.5,2.8,16.38,0,0
23.6,73.9,16.4,40.9,44.17,0,0
44.6,41.8,8.5,3.3,20.02,0,0
20.9,73.9,32.5,24.6,40.60000000000001,0,0
36.8,22.6,14.4,4.6,15.180000000000001,0,0
24.2,67.2,11.8,8.2,28.22,0,0
24.6,79.1,17.0,32.6,42.629999999999995,0,0
20.1,92.7,30.7,60.8,60.279999999999994,1,1
28.1,70.1,20.5,37.5,42.940000000000005,0,0
42.8,39.8,17.8,1.8,20.5,0,0
20.9,97.1,47.2,63.5,66.06,1,1
31.4,30.5,17.9,1.7,16.55,0,0
31.5,57.8,15.8,18.1,30.89,0,0
21.1,90.5,40.0,64.5,63.06,1,1
19.7,96.8,45.6,79.6,71.97,1,1
37.5,33.8,10.9,1.6,16.71,0,0
22.5,84.9,23.8,67.7,59.56,1,0
34.2,31.5,10.9,1.8,15.77,0,0
24.1,94.1,28.0,67.0,63.040000000000006,1,1
29.5,93.1,24.1,57.7,58.78,1,1
39.7,28.1,5.6,2.0,14.32,0,0
20.3,93.3,47.0,80.0,71.42,1,1
40.2,24.3,10.1,4.0,14.93,0,0
23.2,48.2,18.1,11.7,25.080000000000002,0,0
24.7,65.9,24.7,8.7,30.66,0,0
23.6,98.7,46.2,88.5,76.60999999999999,1,1
21.1,75.9,16.5,63.7,53.66,1,0
18.1,73.8,22.6,59.7,52.35,1,0
15.3,93.2,38.5,89.6,73.03,1,1
24.8,81.1,23.9,50.0,51.59,1,0
19.2,92.9,30.3,59.2,59.53000000000001,1,1
28.7,59.9,14.7,10.7,28.060000000000002,0,0
21.2,84.7,15.7,41.4,47.23,0,0
28.0,59.2,21.8,9.7,28.8,0,0
18.0,91.9,26.5,29.5,46.47,0,1
26.4,57.0,20.7,15.5,30.08,0,0
44.1,43.3,8.3,1.4,19.619999999999997,0,0
29.4,45.5,13.1,16.6,25.85,0,0
29.3,72.7,19.7,21.3,37.199999999999996,0,0
29.8,77.8,21.2,49.0,50.16,0,0
33.4,28.9,12.1,0.3,14.549999999999999,0,0
36.8,38.5,16.2,2.2,19.35,0,0
26.1,54.4,19.9,15.4,29.07,0,0
36.8,32.3,14.5,2.8,17.39,0,0
34.6,39.3,6.0,2.5,17.45,0,0
33.3,27.3,6.8,0.8,13.2,0,0
31.5,52.9,16.4,15.2,28.380000000000003,0,0
36.8,27.8,5.8,0.1,13.219999999999999,0,0
24.1,72.5,26.3,25.4,39.58,0,0
26.3,57.7,24.9,10.9,29.279999999999998,0,0
26.3,88.8,34.8,91.8,72.94999999999999,1,1
16.4,99.5,33.8,86.6,72.89,1,1
18.4,78.8,28.7,49.0,50.81999999999999,0,0
22.2,63.8,20.9,8.6,28.979999999999997,0,0
27.9,58.2,24.7,19.8,33.11000000000001,0,0
26.8,91.3,23.2,40.2,50.79,0,1
23.5,83.1,46.4,96.5,75.16,1,0
36.8,29.5,7.5,2.3,14.95,0,0
25.9,90.8,24.5,34.2,48.41,0,1
21.7,82.7,19.1,53.6,52.24,1,0
18.2,93.3,48.2,96.4,78.00999999999999,1,1
20.0,85.8,30.4,30.5,46.019999999999996,0,1
38.4,20.4,14.6,1.2,13.36,0,0
23.7,59.4,18.5,14.2,29.57,0,0
30.1,24.3,11.5,2.2,13.48,0,0
17.5,96.7,30.1,83.6,70.22,1,1
26.1,86.0,46.5,61.0,62.11,1,1
38.8,30.2,8.3,4.4,16.36,0,0
31.1,49.7,19.7,9.8,25.880000000000003,0,0
27.6,81.9,18.6,50.9,51.41,1,0
44.5,24.4,10.7,3.2,15.190000000000001,0,0
20.6,86.1,30.8,80.0,66.05,1,1
37.9,24.5,10.5,0.1,13.280000000000001,0,0
40.8,30.2,13.2,0.9,16.14,0,0
33.0,28.2,8.0,2.7,14.44,0,0
40.4,36.8,10.6,2.3,18.119999999999997,0,0
24.9,93.1,22.3,68.8,62.4,1,1
36.2,34.3,6.9,1.7,15.97,0,0
27.2,47.9,13.1,13.7,25.19,0,0
23.3,57.0,12.2,13.3,27.189999999999998,0,0
23.6,82.8,40.0,69.8,63.120000000000005,1,0
21.6,84.1,23.1,55.1,54.05,1,0
30.3,30.2,11.5,0.7,14.669999999999998,0,0
42.5,24.9,7.4,4.0,14.799999999999999,0,0
35.2,41.0,16.4,4.8,21.02,0,0
33.8,33.9,6.2,1.7,15.469999999999999,0,0
22.1,75.2,17.9,63.9,53.910000000000004,1,0
26.0,62.4,14.5,10.8,28.54,0,0
27.1,53.7,19.2,18.1,29.900000000000002,0,0
25.5,58.6,17.8,16.5,30.290000000000003,0,0
22.2,78.3,23.3,36.2,44.849999999999994,0,0
37.8,26.6,7.6,4.1,14.92,0,0
24.9,86.2,39.1,66.2,62.650000000000006,1,1
18.1,86.7,43.9,81.5,69.2,1,1
28.0,80.2,31.4,99.4,72.9,1,0
18.8,91.5,34.1,57.2,59.03,1,1
23.9,67.0,24.7,15.9,33.79,0,0
30.0,64.1,20.9,13.4,31.769999999999996,0,0
34.3,38.9,14.5,4.2,19.68,0,0
23.5,72.8,33.1,49.8,50.73000000000001,0,0
19.8,88.8,23.4,31.4,45.85999999999999,0,1
24.4,93.7,40.3,90.3,74.72999999999999,1,1
33.9,23.8,5.4,2.1,12.45,0,0
22.9,45.2,24.8,11.1,25.25,0,0
30.7,47.4,12.6,12.7,24.889999999999997,0,0
36.2,40.6,13.4,1.3,19.0,0,0
34.2,35.2,16.5,4.3,19.000000000000004,0,0
20.7,85.5,20.3,39.5,47.580000000000005,0,1
26.4,83.2,15.8,67.3,57.68000000000001,1,0
40.4,44.0,7.2,2.7,19.759999999999998,0,0
37.4,42.7,8.4,2.2,19.11,0,0
28.9,70.1,27.5,56.7,52.1,1,0
18.5,81.1,33.6,69.5,60.699999999999996,1,0
26.7,61.3,10.3,12.3,28.04,0,0
23.4,87.4,28.0,54.7,56.040000000000006,1,1
18.7,70.7,16.6,31.2,38.879999999999995,0,0
42.7,40.1,5.8,3.1,18.7,0,0
33.9,26.1,5.7,4.9,14.320000000000002,0,0
20.5,77.6,33.5,24.5,41.83,0,0
23.7,65.1,17.3,16.2,31.84,0,0
36.1,35.5,6.7,0.7,15.879999999999999,0,0
30.8,58.0,17.6,10.2,28.08,0,0
31.3,57.7,22.3,9.2,28.58,0,0
32.2,22.8,13.5,4.5,14.56,0,0
36.5,27.4,17.0,3.4,16.63,0,0
20.5,72.3,22.8,51.4,48.86,1,0
27.6,55.6,21.3,17.2,30.580000000000002,0,0
25.6,90.3,33.4,59.4,60.09,1,1
20.0,86.1,44.2,72.5,65.67,1,1
32.7,42.8,7.2,3.2,18.83,0,0
24.8,75.4,17.4,30.2,40.66,0,0
26.4,76.9,33.5,57.8,55.53,1,0
25.7,78.1,23.3,21.9,39.419999999999995,0,0
18.1,87.6,41.3,64.4,62.11000000000001,1,1
30.3,47.4,14.7,13.3,25.51,0,0
22.5,91.5,44.2,76.7,69.22,1,1
20.8,95.7,30.3,92.1,73.69,1,1
26.3,80.4,27.1,49.7,52.050000000000004,0,0
23.5,94.0,24.2,24.4,45.15,0,1
37.2,26.9,8.2,4.5,15.23,0,0
44.8,36.0,16.2,1.3,19.04,0,0
36.3,29.7,5.5,3.5,15.04,0,0
42.8,29.5,6.3,2.5,15.39,0,0
27.9,65.2,12.9,11.7,29.61,0,0
37.1,24.2,5.7,5.0,14.110000000000001,0,0
39.1,42.0,11.7,3.8,20.37,0,0
25.4,83.6,31.2,66.0,60.260000000000005,1,0
31.2,34.2,15.6,0.7,16.78,0,0
20.0,75.7,15.2,58.3,51.07,1,0
19.9,80.2,49.3,71.1,64.35,1,0
35.9,43.2,13.1,1.9,19.93,0,0
23.1,61.2,20.8,14.3,30.549999999999997,0,0
26.8,79.0,24.7,42.6,48.36,0,0
41.5,44.4,11.6,1.1,20.229999999999997,0,0
20.5,77.7,24.4,65.9,56.6,1,0
39.7,33.6,7.9,2.9,16.79,0,0
21.7,80.0,31.8,42.3,49.45,0,0
27.5,89.9,19.1,44.8,51.46,0,1
29.1,56.9,12.2,18.1,29.660000000000004,0,0
22.3,84.4,20.3,41.5,48.21,0,0
26.5,79.3,32.0,44.6,50.67999999999999,0,0
38.3,36.4,15.8,3.0,19.11,0,0
23.8,63.6,21.4,11.7,30.419999999999998,0,0
41.7,40.8,14.7,2.6,20.39,0,0
25.2,98.4,37.2,71.5,68.08,1,1
24.9,76.3,32.3,53.8,53.36,1,0
27.9,78.3,23.9,59.1,54.699999999999996,1,0
23.4,60.4,17.5,11.8,28.679999999999996,0,0
35.6,21.4,14.7,3.3,14.24,0,0
20.6,94.7,40.6,84.6,72.43,1,1
