temperature,humidity,wind_speed,rainfall,recommended_sensitivity,explanation
18.3,76.9,19.5,56.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
16.1,88.4,30.6,68.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
39.7,33.6,7.9,2.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.1,37.5,9.4,0.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.9,47.4,22.7,14.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.7,54.5,18.3,17.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.5,71.1,19.6,34.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.2,35.9,9.7,1.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
44.0,36.2,12.9,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
35.7,44.7,13.3,2.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.3,75.7,15.6,35.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
44.1,41.9,9.1,3.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.0,85.3,34.9,82.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.8,80.0,19.4,69.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.6,35.7,15.3,2.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.0,58.2,24.6,17.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.4,76.7,27.8,25.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.5,66.9,14.0,12.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.9,92.8,42.2,66.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.8,58.3,10.0,9.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,96.6,36.2,62.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
16.1,89.7,31.4,90.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
37.1,33.7,8.4,4.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
38.1,38.2,7.6,1.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.3,82.9,17.4,31.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
20.8,75.5,16.4,51.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.2,81.4,34.8,86.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
44.0,34.3,11.1,3.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.5,30.8,10.5,2.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.8,72.5,23.1,37.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.9,31.2,10.5,1.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.8,97.2,41.0,62.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.6,93.2,32.0,28.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.6,54.5,24.8,9.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.6,69.9,18.3,15.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.5,90.8,45.0,62.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.5,48.9,24.4,6.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.1,75.9,17.4,64.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.4,80.5,26.7,46.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
20.9,79.9,28.4,35.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.9,81.5,35.0,69.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
44.0,42.0,16.4,1.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,85.3,34.7,52.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
40.0,43.5,6.7,0.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.3,85.1,29.4,30.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
37.3,42.6,16.0,0.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.1,39.3,13.3,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.1,70.2,16.5,64.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.0,73.7,17.5,35.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.3,92.5,19.2,32.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.6,80.2,27.4,27.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.7,96.2,47.6,61.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.3,65.1,23.0,17.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
43.1,41.5,7.9,4.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.0,50.7,10.4,7.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.6,85.6,42.8,76.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.4,47.9,24.6,7.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
36.5,38.2,9.1,3.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.8,51.4,20.6,5.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.9,86.8,22.3,23.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.1,66.2,20.8,9.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.0,48.2,16.3,19.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.6,83.7,15.0,34.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.9,81.6,23.8,30.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.3,83.4,31.7,80.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.2,63.8,20.1,8.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
37.1,41.2,5.9,2.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.4,32.4,8.2,3.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.2,72.7,23.5,28.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.5,51.2,22.7,11.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.7,99.0,47.8,84.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.3,58.7,23.5,16.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.6,39.1,11.8,3.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.3,26.8,9.2,2.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.4,37.7,5.8,2.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.1,55.5,23.6,13.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.6,70.1,22.0,57.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.5,58.7,19.0,8.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
35.0,37.0,10.3,0.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.3,20.7,10.1,2.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.6,81.5,16.0,39.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.6,54.5,21.3,17.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
38.1,45.0,9.5,3.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.1,93.7,19.0,21.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
40.0,34.1,7.8,3.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.1,38.7,6.5,4.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.4,27.8,13.8,4.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.9,87.3,27.5,25.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.8,82.4,49.7,91.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.7,57.6,15.1,17.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.3,96.6,44.1,77.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.5,96.2,40.8,79.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.2,91.3,31.6,24.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
37.0,35.3,9.9,0.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
33.2,39.9,9.4,4.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.2,43.7,6.1,3.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.3,86.1,24.8,59.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.7,84.5,24.5,46.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.0,87.6,20.4,32.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.8,33.4,14.9,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.2,69.4,17.9,9.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.7,20.4,11.9,1.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,73.2,32.4,44.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.4,49.6,10.8,19.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.8,71.9,27.6,22.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.9,48.0,21.5,14.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.5,56.1,22.9,19.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.9,93.7,19.2,30.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.6,21.9,5.0,2.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
33.5,37.7,14.1,2.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.2,92.5,43.2,97.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.5,67.7,22.4,6.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.8,77.2,17.5,54.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.5,89.9,31.6,61.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.4,44.0,15.9,2.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.7,85.4,30.8,90.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.0,74.5,26.7,51.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.3,61.8,22.9,9.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.6,91.0,39.1,72.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
20.3,90.3,49.8,86.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.9,54.0,21.3,14.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.3,56.0,20.5,6.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.4,33.8,12.2,0.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.0,82.3,46.6,79.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.7,65.9,24.7,8.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.6,97.6,47.3,71.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.3,57.7,22.3,9.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.4,83.0,40.8,73.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.6,53.0,12.8,15.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.5,88.6,29.1,60.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.8,82.4,15.7,45.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.4,88.8,40.5,78.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.5,48.9,17.0,19.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.2,91.3,32.2,39.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.5,70.9,16.4,51.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.7,88.7,32.0,85.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.9,67.6,10.7,16.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
38.0,34.1,15.3,0.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.1,84.8,48.3,65.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
33.8,20.2,15.5,4.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
36.6,28.6,12.6,3.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.7,25.0,10.0,2.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,94.8,20.9,68.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.2,88.6,16.0,50.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.7,96.0,42.1,74.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.1,88.0,28.2,61.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.7,81.0,26.6,56.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
41.2,24.4,6.7,2.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.1,65.8,13.9,17.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.1,72.9,34.3,27.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.4,99.6,49.3,92.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.2,83.4,24.1,53.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.3,72.7,19.7,21.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.0,75.5,16.3,61.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.4,68.7,14.6,12.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
36.8,36.8,14.7,4.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.9,80.4,17.0,44.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
15.4,87.4,38.9,98.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
40.3,33.6,17.7,1.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.8,41.2,10.9,3.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.3,89.7,19.9,26.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
41.5,25.2,7.8,4.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
43.5,20.1,16.2,0.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.6,36.5,5.3,0.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.9,24.4,5.7,3.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.7,89.5,25.3,25.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
15.6,95.7,47.3,80.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
15.8,89.6,38.0,87.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
16.0,81.6,42.2,62.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.3,69.9,18.0,11.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.2,86.3,30.4,56.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
35.1,31.3,10.4,0.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.5,73.8,33.5,23.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.4,38.5,15.6,2.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.0,73.1,22.1,53.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.4,99.4,42.0,74.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
39.9,25.6,6.4,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,90.2,31.9,68.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.7,70.7,33.6,61.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.7,78.5,15.1,63.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.4,60.8,10.5,16.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.4,54.3,20.8,16.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.4,35.4,13.8,1.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,51.8,21.3,6.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.2,32.2,13.7,0.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.1,77.5,19.2,26.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.2,24.4,9.9,3.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.7,71.8,32.2,22.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.5,91.5,44.2,76.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
34.9,40.0,13.0,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.7,26.1,12.7,2.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.4,53.3,12.5,12.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.1,53.7,20.9,17.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
33.0,35.1,14.9,3.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.9,88.9,30.2,42.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.5,91.6,27.5,27.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.0,51.9,10.8,12.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.6,65.8,11.2,18.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
